20,"Thurmos","2014-05-30","Mount Wario",110333,12,"France","N/A","-","1-1-1","Gold Standard","Slim",0,"Cloud Glider",0,"Wario","-","-","-",1,0,"","","",""
21,"Mercury","2014-05-30","Cloudtop Cruise",126666,13,"Japan","https://www.youtube.com/watch?v=wahAgfaXMtk","10-0-0","0-1-2","Mach 8","Cyber Slick",0,"Super Glider",0,"Bowser","44.099","41.467","41.100",1,0,"","","",""
22,"Alexony","2014-05-30","Bone-Dry Dunes",115235,14,"Spain","https://www.youtube.com/watch?v=tJEgvw2w764","9-1-0","1-1-1","Sports Coupe","Cyber Slick",0,"Super Glider",1,"Bowser","39.778","37.628","37.829",1,0,"","","",""
23,"Magnet","2014-05-30","Bowser's Castle",127678,15,"France","http://www.youtube.com/watch?v=uzh9RTxcV_E","10-0-0","1-1-1","Gold Standard","Cyber Slick",0,"Wario Wing",0,"Morton","43.717","41.675","42.286",1,0,"","","",""
25,"Nyko","2014-05-30","Rainbow Road",126952,16,"France","https://www.youtube.com/watch?v=ag24pOM3Hpw","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Morton","43.254","41.919","41.779",1,0,"","","",""
26,"Skwiiz","2014-05-30","Wii Moo Moo Meadows",87858,17,"France","https://www.youtube.com/watch?v=rPJadb-zMsk","7-3-0","1-1-1","Sports Coupe","Cyber Slick",0,"MKTV Parafoil",0,"Wario","30.320","28.998","28.540",1,0,"","","",""
27,"Kazuo","2014-05-30","GBA Mario Circuit",87480,18,"France","https://www.youtube.com/watch?v=ypQsEvZKYkY","9-1-0","1-1-1","Circuit Special","Slick",0,"Flower Glider",1,"Bowser","30.457","28.488","28.535",1,0,"","","",""
32,"Aspyk","2014-05-30","3DS Music Park",120294,27,"France","N/A","-","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Bowser","-","-","-",1,0,"","","",""
34,"Alexony","2014-05-30","3DS Piranha Plant Slide",127381,30,"Spain","https://www.youtube.com/watch?v=0gCIBbNmXYg","10-0-0","1-1-1","Sports Coupe","Cyber Slick",0,"Wario Wing",0,"Wario","43.710","41.972","41.699",1,0,"","","",""
35,"Seboss","2014-05-30","Wii Grumble Volcano",121561,31,"France","http://www.youtube.com/watch?v=KevpVK1P7qk","10-0-0","1-1-1","Gold Standard","Slick",0,"MKTV Parafoil",0,"Morton","41.359","39.931","40.271",1,0,"","","",""
38,"Thurmos","2014-05-30","Mount Wario",110066,12,"France","https://www.youtube.com/watch?v=bspQZNeyTYE","4-6-0","1-1-1","Gold Standard","Slim",0,"Cloud Glider",0,"Wario","24.933","47.417","37.716",0,0,"","","",""
40,"G-danzee","2014-05-30","N64 Royal Raceway",120576,23,"Italy","N/A","10-0-0","1-1-1","Gold Standard","Slick",0,"Super Glider",0,"Bowser","41.115","39.712","39.749",0,0,"","","",""
39,"Nesta","2014-05-30","Mario Circuit",110930,5,"Switzerland","N/A","10-0-0","3-0-0","Mach 8","Cyber Slick",0,"Cloud Glider",0,"Morton","36.476","37.178","37.276",0,0,"","","",""
41,"ひかげ","2014-05-30","Dolphin Shoals",124177,10,"Japan","N/A","10-0-0","1-1-1","Badwagon","Retro Off-Road",0,"Super Glider",0,"Wario","42.490","40.825","40.862",0,0,"","","",""
42,"のりたま","2014-05-30","3DS Music Park",120215,27,"Japan","N/A","-","1-1-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Morton","-","-","-",0,0,"","","",""
43,"のりたま","2014-05-30","3DS Music Park",119730,27,"Japan","http://youtu.be/BmFB2qd0sl4?t=4m40s","9-1-0","1-1-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Morton","40.932","39.133","39.665",0,0,"","","",""
44,"Koswik","2014-05-30","Mario Circuit",110625,5,"France","N/A","10-0-0","2-1-0","Circuit Special","Cyber Slick",0,"Super Glider",0,"Wario","36.944","36.764","36.917",0,0,"","","",""
65,"きゃべつ","2014-05-30","Electrodrome",120249,11,"Japan","https://www.youtube.com/watch?v=W4Z9Hxgd-is","10-0-0","1-1-1","Mach 8","Slick",0,"Parafoil",1,"Wario","41.244","39.529","39.476",0,0,"","","",""
118,"Kazuo","2014-05-30","Dolphin Shoals",123584,10,"France","N/A","10-0-0","1-1-1","-","Retro Off-Road",0,"Super Glider",0,"Wario","-","-","-",0,0,"","","",""
97,"4rinBoT","2014-05-30","N64 Royal Raceway",119484,23,"Japan","N/A","10-0-0","1-1-1","Mach 8","Slick",0,"Plane Glider",0,"Heavy Mii","41.022","39.225","39.235",0,0,"","","",""
45,"mume","2014-05-30","DS Tick-Tock Clock",114404,29,"Japan","https://www.youtube.com/watch?v=SwnqwJA0-ist&t=7s","10-0-0","1-1-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Morton","39.466","37.536","37.402",0,0,"","","",""
46,"Thurmos","2014-05-30","Mario Circuit",110872,5,"France","N/A","10-0-0","2-1-0","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Wario","36.969","36.721","37.182",0,0,"","","",""
47,"Koswik","2014-05-30","Mario Circuit",110623,5,"France","N/A","10-0-0","2-1-0","Circuit Special","Cyber Slick",0,"Super Glider",0,"Wario","36.941","36.817","36.865",0,0,"","","",""
48,"しゆう","2014-05-30","Mario Kart Stadium",101697,1,"Japan","https://www.youtube.com/watch?v=l03ixP0Jh_4","8-1-1","1-1-1","Gold Standard","Slick",0,"Parafoil",0,"Morton","35.056","33.415","33.226",0,0,"","","",""
160,"よっしー","2014-05-31","Bowser's Castle",126002,15,"Japan","https://www.youtube.com/watch?v=7iCcAhdhwzs","10-0-0","1-1-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Bowser","43.368","41.337","41.297",0,0,"","","",""
95,"ゆうじ","2014-05-30","GCN Dry Dry Desert",126376,21,"Japan","N/A","9-1-0","1-1-1","Sports Coupe","Cyber Slick",0,"Peach Parasol",1,"Wario","43.226","41.939","41.211",0,0,"","","",""
117,"Aspyk","2014-05-30","3DS Music Park",119258,27,"France","N/A","9-1-0","1-1-1","Circuit Special","Cyber Slick",0,"Wario Wing",0,"Bowser","-","-","-",0,0,"","","",""
105,"Liar","2014-05-30","Shy Guy Falls",124653,8,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","-","-","-",0,0,"","","",""
52,"akhous","2014-05-30","Mario Circuit",110619,5,"France","https://www.youtube.com/watch?v=6tl06R3J6mw","10-0-0","2-1-0","Yoshi Bike","Cyber Slick",0,"Cloud Glider",0,"Morton","36.693","36.983","36.943",0,0,"","","",""
51,"きゃべつ","2014-05-30","Electrodrome",120528,11,"Japan","N/A","10-0-0","1-1-1","Mach 8","Slick",0,"Parafoil",0,"Morton","41.322","39.595","39.611",0,0,"","","",""
53,"なつ","2014-05-30","Sunshine Airport",123743,9,"Japan","http://www.youtube.com/watch?v=zuwJYHjJumo","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","42.338","40.730","40.675",0,0,"","","",""
64,"たそがれ","2014-05-30","Dolphin Shoals",123886,10,"Japan","https://www.youtube.com/watch?v=xoXOEkyiGHM","10-0-0","1-1-1","Badwagon","Retro Off-Road",0,"Super Glider",0,"Wario","42.399","40.672","40.815",0,0,"","","",""
54,"Sam","2014-05-30","SNES Donut Plains 3",81111,22,"France","https://www.youtube.com/watch?v=1IgdcOZR8MsN/A","7-0-0","1-1-1","Circuit Special","Crimson Slim",0,"Wario Wing",0,"Morton","27.913","26.574","26.624",0,0,"","","",""
55,"manaphy","2014-05-30","SNES Donut Plains 3",80982,22,"France","N/A","7-0-0","1-1-1","Circuit Special","Crimson Slim",0,"Wario Wing",0,"Bowser","27.641","26.550","26.791",0,0,"","","",""
56,"Seboss","2014-05-30","SNES Donut Plains 3",80931,22,"France","N/A","5-1-0","1-1-1","Gold Standard","Crimson Slim",0,"MKTV Parafoil",0,"Morton","27.657","26.702","26.572",0,0,"","","",""
57,"ALAKTORN","2014-05-30","SNES Donut Plains 3",80762,22,"Italy","N/A","7-0-0","1-1-1","Mach 8","Slim",0,"Super Glider",0,"Wario","27.856","26.329","26.577",0,0,"","","",""
58,"Seboss","2014-05-30","Mario Kart Stadium",101602,1,"France","https://www.youtube.com/watch?v=cclJCG_Kwms","8-2-0","1-1-1","Gold Standard","Slick",0,"MKTV Parafoil",0,"Morton","35.089","33.253","33.260",0,0,"","","",""
59,"(T.T)","2014-05-30","Mario Circuit",109801,5,"Japan","N/A","10-0-0","2-0-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Morton","36.569","36.766","36.466",0,0,"","","",""
60,"7","2014-05-30","Toad Harbor",127172,6,"Japan","https://www.youtube.com/watch?v=vBrwNfmO2Bc&list=UUSZXZ1awlzLIDscJrNPGP5Q","10-0-0","1-1-1","Circuit Special","Slick",0,"MKTV Parafoil",1,"Morton","43.641","41.759","41.772",0,0,"","","",""
61,"Aspyk","2014-05-30","Water Park",105809,2,"France","https://www.youtube.com/watch?v=C9VQSPhG0D8","10-0-0","1-1-1","Circuit Special","Cyber Slick",0,"Wario Wing",1,"Bowser","36.493","34.705","34.611",0,0,"","","",""
62,"￠rush","2014-05-30","Thwomp Ruins",114349,4,"Japan","http://youtu.be/mH4NiQSR4X8?t=6m20s","10-0-0","1-1-1","Circuit Special","Cyber Slick",0,"Super Glider",0,"Bowser","39.794","37.323","37.232",0,0,"","","",""
63,"なつ","2014-05-30","Sunshine Airport",123428,9,"Japan","https://www.youtube.com/watch?v=Q9d_hU2piYA","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","42.186","40.558","40.684",0,0,"","","",""
66,"Thommy","2014-05-30","Mount Wario",110033,12,"Germany","N/A","4-6-0","1-1-1","Gold Standard","Slim",0,"Plane Glider",0,"Morton","24.816","47.467","37.750",0,0,"","","",""
67,"Shaun","2014-05-30","Wii Moo Moo Meadows",87578,17,"UK","N/A","7-3-0","1-1-1","Sports Coupe","Cyber Slick",0,"MKTV Parafoil",0,"Wario","30.333","28.930","28.315",0,0,"","","",""
68,"Sam","2014-05-30","DS Cheep Cheep Beach",113412,19,"France","https://www.youtube.com/watch?v=azHW-sjVTyU","9-1-0","1-1-1","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Morton","38.945","37.252","37.215",0,0,"","","",""
69,"Jellykun","2014-05-30","N64 Toad's Turnpike",108179,20,"Netherlands","N/A","10-0-0","1-1-1","Sport Bike","Slick",0,"MKTV Parafoil",0,"Bowser","-","-","-",0,1,"","","",""
70,"Kemboy","2014-05-30","DS Cheep Cheep Beach",113511,19,"France","http://youtu.be/IO0fL6qXEW4?t=3m44s","9-1-0","1-1-1","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Morton","39.011","37.252","37.248",0,0,"","","",""
71,"Magnet","2014-05-30","Bowser's Castle",127178,15,"France","https://www.youtube.com/watch?v=zad8cChuyAw","9-0-0","1-1-1","Gold Standard","Cyber Slick",0,"Wario Wing",1,"Morton","43.375","41.679","42.124",0,0,"","","",""
72,"あんちょび","2014-05-30","Bowser's Castle",127276,15,"Japan","http://youtu.be/sVC5_-pb2c4?t=4m48s","9-1-0","1-1-1","Gold Standard","Slick",0,"Wario Wing",0,"Bowser","43.533","41.666","42.077",0,0,"","","",""
73,"Nyko","2014-05-30","Rainbow Road",126947,16,"France","http://youtu.be/sVC5_-pb2c4?t=7m21s","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","43.192","41.920","41.835",0,0,"","","",""
74,"Kemboy","2014-05-30","DS Cheep Cheep Beach",113485,19,"France","N/A","9-1-0","1-1-1","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Morton","38.989","37.225","37.271",0,0,"","","",""
75,"Nyko","2014-05-30","Rainbow Road",126932,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","-","-","-",0,0,"","","",""
76,"(T.T)","2014-05-30","Mario Circuit",109667,5,"Japan","https://www.youtube.com/watch?v=3IdUNAn1zEM","10-0-0","2-0-1","Circuit Special","Cyber Slick",0,"Super Glider",1,"Morton","36.524","36.807","36.336",0,0,"","","",""
77,"Thurmos","2014-05-30","Mario Circuit",110265,5,"France","http://www.youtube.com/watch?v=vxFghI-9N_c","10-0-0","3-0-0","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Wario","36.321","36.949","36.995",0,0,"","","",""
78,"Dark","2014-05-30","Dolphin Shoals",124131,10,"France","http://youtu.be/zuwJYHjJumo?t=2m28s","10-0-0","1-1-1","Badwagon","Retro Off-Road",0,"Super Glider",0,"Wario","42.377","40.880","40.874",0,0,"","","",""
79,"Kazuo","2014-05-30","Dolphin Shoals",123785,10,"France","N/A","10-0-0","1-1-1","Badwagon","Retro Off-Road",0,"Super Glider",0,"Wario","42.311","40.725","40.749",0,0,"","","",""
80,"Nyko","2014-05-30","Rainbow Road",126470,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","-","-","-",0,0,"","","",""
81,"Thommy","2014-05-30","Mount Wario",109983,12,"Germany","N/A","4-6-0","1-1-1","Gold Standard","Slim",0,"Plane Glider",0,"Morton","24.833","47.350","37.800",0,0,"","","",""
82,"Nyko","2014-05-30","Rainbow Road",126325,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","42.920","41.612","41.793",0,0,"","","",""
83,"Nyko","2014-05-30","Rainbow Road",126245,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","43.090","41.471","41.684",0,0,"","","",""
84,"Nyko","2014-05-30","Rainbow Road",126171,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","-","-","-",0,0,"","","",""
85,"Nyko","2014-05-30","Rainbow Road",126117,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","43.144","41.491","41.482",0,0,"","","",""
86,"Nyko","2014-05-30","Rainbow Road",126027,16,"France","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Wario Wing",0,"Morton","42.886","41.648","41.493",0,0,"","","",""
87,"Jellykun","2014-05-30","N64 Toad's Turnpike",108083,20,"Netherlands","https://www.youtube.com/watch?v=K8aUKMBxNvw","10-0-0","1-1-1","Sport Bike","Slick",0,"MKTV Parafoil",0,"Bowser","36.877","35.647","35.559",0,1,"","","",""
88,"Shaun","2014-05-30","Wii Moo Moo Meadows",87476,17,"UK","N/A","7-3-0","1-1-1","Sports Coupe","Cyber Slick",0,"MKTV Parafoil",0,"Wario","30.367","28.726","28.283",0,0,"","","",""
89,"Shaun","2014-05-30","Wii Moo Moo Meadows",87309,17,"UK","https://www.youtube.com/watch?v=QMkQbkPb9Lg","7-3-0","1-1-1","Sports Coupe","Cyber Slick",0,"MKTV Parafoil",1,"Wario","30.323","28.673","28.313",0,0,"","","",""
90,"Thurmos","2014-05-30","Mount Wario",109683,12,"France","N/A","4-6-0","1-1-1","Gold Standard","Slim",0,"Cloud Glider",1,"Wario","24.700","47.433","37.550",0,0,"","","",""
91,"Kemboy","2014-05-30","DS Cheep Cheep Beach",113338,19,"France","https://www.youtube.com/watch?v=-IH_2lvC5pg","9-1-0","1-1-1","Gold Standard","Cyber Slick",0,"Cloud Glider",0,"Morton","38.971","37.142","37.225",0,0,"","","",""
92,"ALAKTORN","2014-05-30","SNES Donut Plains 3",80651,22,"Italy","N/A","6-1-0","1-1-1","Mach 8","Slim",0,"MKTV Parafoil",0,"Wario","27.666","26.442","26.543",0,0,"","","",""
93,"Mercury","2014-05-30","Cloudtop Cruise",125428,13,"Japan","https://www.youtube.com/watch?v=QQuJIIu0Itc","10-0-0","0-1-2","Sports Coupe","Cyber Slick",0,"Parafoil",1,"Bowser","43.894","40.977","40.557",0,0,"","","",""
94,"Bengy","2014-05-30","3DS DK Jungle",129596,24,"France","https://www.youtube.com/watch?v=hSLUvECpXoU","7-3-0","1-2-0","Circuit Special","Cyber Slick",0,"Cloud Glider",1,"Morton","44.438","42.311","42.847",0,0,"","","",""
96,"4rinBoT","2014-05-30","N64 Royal Raceway",119906,23,"Japan","N/A","10-0-0","1-1-1","Mach 8","Slick",0,"Plane Glider",0,"Heavy Mii","41.004","39.609","39.293",0,0,"","","",""
98,"Sam","2014-05-30","SNES Donut Plains 3",80388,22,"France","https://www.youtube.com/watch?v=XXa1ob-hoVM","7-0-0","1-1-1","Mach 8","Slim",0,"Cloud Glider",0,"Bowser","27.428","26.269","26.691",0,0,"","","",""
99,"a killer","2014-05-30","N64 Royal Raceway",120043,23,"Japan","http://youtu.be/bmaZPpdWSpY?t=4m10s","10-0-0","1-1-1","Mach 8","Slick",0,"Cloud Glider",0,"Heavy Mii","41.041","39.299","39.703",0,0,"","","",""
100,"Jellykun","2014-05-30","N64 Toad's Turnpike",107984,20,"Netherlands","https://www.youtube.com/watch?v=Z8huJ8GBr2s","10-0-0","1-1-1","Comet","Slick",0,"MKTV Parafoil",0,"Bowser","36.862","35.578","35.544",0,1,"","","",""
101,"Roy03","2014-05-30","Mario Kart Stadium",101408,1,"Germany","N/A","8-2-0","1-1-1","Circuit Special","Cyber Slick",0,"MKTV Parafoil",0,"Morton","34.713","33.310","33.385",0,0,"","","",""
102,"Kazuo","2014-05-30","Dolphin Shoals",123642,10,"France","N/A","10-0-0","1-1-1","Badwagon","Retro Off-Road",0,"Super Glider",0,"Wario","42.330","40.728","40.584",0,0,"","","",""
103,"Roy03","2014-05-30","Mario Kart Stadium",100828,1,"Germany","https://www.youtube.com/watch?v=knXzzF7o5Pg","8-2-0","1-1-1","Circuit Special","Cyber Slick",0,"MKTV Parafoil",0,"Morton","34.748","33.162","32.918",0,0,"","","",""
104,"Liar","2014-05-30","Shy Guy Falls",123996,8,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","42.061","41.213","40.722",0,0,"","","",""
106,"なつ","2014-05-30","Sunshine Airport",122947,9,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",1,"Bowser","42.051","40.549","40.347",0,0,"","","",""
107,"Nyko","2014-05-30","Rainbow Road",125892,16,"France","https://www.youtube.com/watch?v=KPCX6ibRLoo","10-0-0","1-1-1","Circuit Special","Slim",0,"Super Glider",1,"Morton","43.054","41.381","41.457",0,0,"","","",""
108,"Liar","2014-05-30","Shy Guy Falls",123895,8,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","-","-","-",0,0,"","","",""
109,"Liar","2014-05-30","Shy Guy Falls",123677,8,"Japan","https://www.youtube.com/watch?v=XVf2r1Qzce4","10-0-0","1-1-1","Circuit Special","Slick",0,"Super Glider",0,"Bowser","41.973","40.955","40.749",0,0,"","","",""
110,"Aspyk","2014-05-30","N64 Yoshi Valley",123630,28,"France","N/A","10-0-0","1-1-1","Sports Coupe","Cyber Slick",0,"MKTV Parafoil",0,"Morton","43.029","40.158","40.443",0,0,"","","",""
111,"よっしー","2014-05-30","N64 Yoshi Valley",122965,28,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Slick",0,"Bowser Kite",0,"Bowser","42.947","40.038","39.980",0,0,"","","",""
112,"4rinBoT","2014-05-30","N64 Royal Raceway",119063,23,"Japan","N/A","10-0-0","1-1-1","Mach 8","Slick",0,"Plane Glider",0,"Heavy Mii","40.835","38.922","39.306",0,0,"","","",""
