Player Name,Score,Character,Vehicle,Glider,Tires
Doodle,103526,Dry Bowser,Comet,Cloud Glider,Roller
Del,82438,Orange Inkling Girl,Circuit Special,Super Glider,Off-Road
Del,91451,Male Villager,Standard Kart,Super Glider,Off-Road
Mattew,120595,Heavy Mii,Mach 8,Super Glider,Cyber Slick
Issem,90606,Dry Bowser,Circuit Special,Bowser Kite,Slim
DwayneP,78496,Morton,Sport Bike,Bowser Kite,Leaf Tires
Del,85800,Male Villager,Standard Kart,Super Glider,Off-Road
Mattew,110980,Morton,Blue Falcon,Super Glider,Slim
Mattew,89782,Morton,Blue Falcon,Paper Glider,Leaf Tires
Danny,77676,Morton,Splat Buggy,Super Glider,Slim
Toopa,75058,Orange Inkling Girl,Streetle,Parafoil,Roller
ドルフィンみさき,123973,Morton,Steel Driver,Super Glider,Off-Road
B!KZO,126898,Morton,Master Cycle,Super Glider,Slim
Mattew,116414,Heavy Mii,Blue Falcon,Super Glider,Blue Standard
パステル,91994,Bowser,Sport Bike,Super Glider,Standard
Danny,113630,Morton,Splat Buggy,Super Glider,Slim
Xander,115937,Wario,Streetle,Super Glider,Slim
Mattew,87419,Morton,Gold Standard,Super Glider,Cyber Slick
Mon,113517,Bowser,Streetle,Plane Glider,Slim
Mattew,125964,Morton,Blue Falcon,Super Glider,Crimson Slim
SeLe,68713,Morton,Splat Buggy,Super Glider,Slim
Del,98287,Morton,Streetle,Super Glider,Standard
Davi,110548,Morton,Circuit Special,Parachute,Slim
Dragnir,107692,Dry Bowser,Streetle,Super Glider,Roller
Danny,91044,Morton,Splat Buggy,Super Glider,Slim
Danny,59793,Morton,Splat Buggy,Super Glider,Slim
Army,79156,Waluigi,Biddybuggy,Paper Glider,Azure Roller
Xander,126196,Morton,Splat Buggy,Super Glider,Slim
Danny,112791,Morton,Splat Buggy,Super Glider,Slim
Crazykonga,102184,Dry Bowser,Wild Wiggler,Super Glider,Slim
Darky,46851,Luigi,Standard Bike,Cloud Glider,Leaf Tires
Play,92236,Dark Blue Yoshi,Splat Buggy,Plane Glider,Slim
Dash,87580,Daisy,Streetle,Super Glider,Roller
Danny,96977,Morton,Splat Buggy,Super Glider,Slim
Danny,94411,Morton,Splat Buggy,Super Glider,Slim
Danny,89002,Morton,Splat Buggy,Super Glider,Slim
Wariuzzo,79644,Pink Gold Peach,City Tripper,Super Glider,Slick
Jimmy,59114,Dry Bowser,Splat Buggy,Super Glider,Slim
Nick,96881,Tanooki Mario,Splat Buggy,Super Glider,Roller
Cole,109977,Morton,Splat Buggy,Super Glider,Slim
Joel,108707,Wario,Streetle,Super Glider,Azure Roller
Elpis,110118,Dry Bowser,Streetle,Super Glider,Roller
Angryfast,109033,Dry Bowser,Streetle,Super Glider,Roller
Danny,75480,Morton,Splat Buggy,Super Glider,Slim
Danny,93839,Morton,Splat Buggy,Super Glider,Slim
PreyingShark,89255,Bowser Jr.,Standard Kart,Super Glider,Crimson Slim
アツサム,114857,Morton,Mach 8,Super Glider,Slick
Xander,113376,Morton,Streetle,Super Glider,Slim
Del,91996,Male Villager,Circuit Special,Super Glider,Retro Off-Road
Danny,95317,Morton,Splat Buggy,Super Glider,Slim
Mary,82606,Male Villager,Streetle,Plane Glider,Roller
Shaun,122020,Wario,Splat Buggy,Super Glider,Slim
Danny,84116,Morton,Splat Buggy,Super Glider,Slim
Danny,97612,Morton,Splat Buggy,Super Glider,Slim
Del,91043,King Boo,Splat Buggy,Super Glider,Retro Off-Road
Danny,94831,Morton,Splat Buggy,Super Glider,Slim
Danny,65856,Morton,Splat Buggy,Super Glider,Slim
Danny,67930,Morton,Splat Buggy,Super Glider,Slim
Danny,64461,Morton,Splat Buggy,Super Glider,Slim
Danny,91364,Morton,Splat Buggy,Super Glider,Slim
Danny,99626,Morton,Splat Buggy,Super Glider,Slim
Mary,83600,Metal Mario,Streetle,Plane Glider,Roller
Danny,92055,Morton,Splat Buggy,Super Glider,Slim
Danny,89258,Morton,Splat Buggy,Super Glider,Slim
Ronan,91754,Yoshi,Streetle,Hylian Kite,Roller
