"Tires","Effect"
"Button",-0.0633633583464932
"Slim",0.0802258685826471
"Off-Road",0.00469229853739589
"Roller",0.175702664562386
"Slick",0.115490673049799
"Cyber Slick",-0.0693180655649722
"Crimson Slim",-0.34916654241535
"Azure Roller",0.0286719126723834
"Retro Off-Road",0.00607109094313443
"Metal",0.0419511882861859
"Cushion",-0.0302653111964211
"Sponge",0.0587166872197388
