3044,"Mattew","2017-04-28","GBA Ribbon Road",111460,46,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3070,"Limit","2017-04-28","Cloudtop Cruise",125626,13,"Japan","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
6225,"TylerR","2017-06-23","Electrodrome",85152,11,"USA","N/A","10-0-0","1-1-1","Biddybuggy","Leaf Tires",0,"Cloud Glider",0,"Roy","29.363","27.848","27.941",0,0,"","","","",200
3350,"PreyingShark","2017-04-28","GBA Ribbon Road",89942,46,"USA","https://www.twitch.tv/videos/138537216","9-1-0","1-1-1","Sneeker","Crimson Slim",0,"Super Glider",0,"Dry Bowser","30.477","29.764","29.701",0,0,"","","","",200
3346,"Danny","2017-04-28","DS Cheep Cheep Beach",113199,19,"Netherlands","N/A","10-0-0","1-1-1","Splat Buggy","Slim",0,"Super Glider",0,"Morton","38.776","37.278","37.145",0,0,"","","","",150
3325,"Issem","2017-04-28","Bone-Dry Dunes",87027,14,"France","https://youtu.be/rccv_rXNDPM?si=MLEJg5JyXWAH7AoL&t=1078","8-0-2","1-2-0","Pipe Frame","Slim",0,"Parachute",1,"King Boo","30.304","27.926","28.797",1,0,"","","","",200
3327,"Issem","2017-04-28","SNES Rainbow Road",66877,38,"France","N/A","10-0-0","1-1-1","Pipe Frame","Slim",0,"Parachute",0,"King Boo","23.212","22.138","21.527",1,0,"","","","",200
3328,"SeLe","2017-04-28","3DS Neo Bowser City",109907,45,"Japan","N/A","9-1-0","1-1-1","Streetle","Slim",0,"Super Glider",0,"Morton","37.722","36.251","35.934",1,0,"","","","",150
3329,"Issem","2017-04-28","Wii Wario's Gold Mine",90925,37,"France","N/A","10-0-0","1-1-1","Pipe Frame","Slim",0,"Parachute",0,"King Boo","31.591","29.866","29.468",1,0,"","","","",200
3330,"Issem","2017-04-28","GCN Dry Dry Desert",87138,21,"France","https://www.youtube.com/watch?v=mGgtWT9LQ48","10-0-0","1-1-1","Pipe Frame","Slim",0,"Parachute",0,"King Boo","30.517","28.241","28.380",1,0,"","","","",200
3333,"ひす","2017-04-28","Rainbow Road",125009,16,"Japan","N/A","10-0-0","1-1-1","Pipe Frame","Slim",0,"Super Glider",0,"Wario","42.572","41.221","41.216",1,0,"","","","",150
3093,"AngelMac","2017-04-28","3DS Neo Bowser City",92060,45,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",200
3104,"Issem","2017-04-28","N64 Rainbow Road",61042,32,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",200
3334,"Peze","2017-04-28","GCN Yoshi Circuit",110800,33,"Japan","N/A","10-0-0","1-1-1","Circuit Special","Off-Road",0,"Super Glider",0,"Morton","38.526","36.187","36.087",1,0,"","","","",150
3106,"7step","2017-04-28","3DS Piranha Plant Slide",126418,30,"Japan","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3120,"Thomas","2017-04-28","GBA Mario Circuit",69130,18,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",200
3122,"Mattew","2017-04-28","Big Blue",87016,48,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
