"Glider","Effect"
"Super Glider",-0.158325808918441
"Parachute",0.0652578232539522
"Peach Parasol",0.171719230265035
"Bowser Kite",-0.143806046195279
"Plane Glider",0.419035215634888
"Hylian Kite",0.125030333047192
"MKTV Parafoil",-0.10761273908608
"Parafoil",-0.0873333207268527
"Cloud Glider",-0.167295529085835
"Flower Glider",0.0797302601299519
"Paper Glider",0.0554197896955119
"Waddle Wing",-0.294158972618133
"Wario Wing",0.0101474763276056
"Gold Glider",0.0149238964064231
