"Attribute","Weight"
"GroundSpeed",-0.119514694176042
"WaterSpeed",-0.309158811269861
"AirSpeed",0.371853705432011
"AntiGravitySpeed",-0.109799689786831
"Acceleration",0.350174157012106
"Weight",0.297396502770876
"GroundHandling",-0.84432871245807
"WaterHandling",0.104882043340489
"AirHandling",-0.0120995994045406
"AntiGravityHandling",0.108377552766179
"Traction",-0.0879835113774052
"MiniTurbo",0.171027473140137
